Date,MSFT,MSFT,MSFT,MSFT,MSFT
2016-09-30,51.65250778198242,51.804956202393335,51.41935560000224,51.625606528126,29910800
2016-10-03,51.491085052490234,51.607662834947504,51.168259796224646,51.482119109598116,19189500
2016-10-04,51.329689025878906,51.652514375798475,51.08756744783101,51.35659028316947,20085900
2016-10-05,51.68836975097656,51.97532781345781,51.34760576897635,51.3745104391408,16726400
2016-10-06,51.77806091308594,51.88566936171804,51.365555588509565,51.77806091308594,16212600
2016-10-07,51.83185577392578,51.99327013344625,51.491091745959196,51.87669233583471,20089000
2016-10-10,52.04706954956055,52.36092886447222,51.89462115316775,51.93049176653194,18196500
2016-10-11,51.28484344482422,52.02914340962047,51.015820638815065,51.912565606052624,26497400
2016-10-12,51.213111877441406,51.35659095288034,50.576423693981845,51.213111877441406,22177500
2016-10-13,51.04270935058594,51.38347331222816,50.50466387078009,50.84542783242232,25313700
2016-10-14,51.491085052490234,51.77804653718734,51.22206229519726,51.22206229519726,27402500
2016-10-17,51.31174850463867,51.526965382735085,50.997885711266385,51.437292253663344,23830000
2016-10-18,51.70631408691406,51.966370945454315,51.48212784765051,51.58973628467006,19149500
2016-10-19,51.5897331237793,51.867725274925384,51.47315874948831,51.53593061897125,22878400
2016-10-20,51.33864974975586,51.58077130317774,50.80957007838447,51.56283599320457,49455600
2016-10-21,53.49980926513672,54.20823867191,53.34736424942673,54.05579023538914,80032200
2016-10-24,54.70144271850586,54.70144271850586,53.74192588219036,53.7508918266597,54067000
2016-10-25,54.692474365234375,55.03323497303018,54.522090640526066,54.56692720251915,35137200
2016-10-26,54.36964797973633,54.88079233418444,54.22616892271249,54.53106234648948,29911600
2016-10-27,53.894371032714844,54.548997867533274,53.885405088220736,54.35171288055728,28479900
2016-10-28,53.688114166259766,54.27099969744765,53.42806075495165,53.81365790016234,33574700
2016-10-31,53.73295593261719,54.1813284090408,53.73295593261719,53.94817622645715,26434700
